3519,Destinatarios,,Sexta,,,,,
1285,Entregues,,Destinatarios,Entregues,Abertas,Lead,Descadastrar,Custo
794,Abertas,,657,631,405,74,21,265.02
127,Leads Inseridos na Roleta de Atendimento,,,,,,,
32,Descadastrar,,Sábado,,,,,
1428.84,Custo,,Destinatarios,Entregues,Abertas,Lead,Descadastrar,Custo
,,,745,654,389,53,11,274.68
,,,,,,,,
,,,Domingo,,,,,
,,,Destinatarios,Entregues,Abertas,Lead,Descadastrar,Custo
,,,2117,,,,,889.14
